store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
1042980416206099690,60.0,9.5,68.5,0.0,0.0,0.0
1043071991291188607,60.0,24.0,168.0,0.0,0.0,0.0
1043917341584031554,60.0,23.983333333333334,167.88333333333333,0.0,-3.789561257387201e-15,0.0
1043933350899013734,60.0,20.99972222222222,146.99805555555557,0.0,0.0,0.0
1044350569730321852,60.0,9.0,53.0,0.0,0.0,0.0
1045126309015021879,60.0,23.983333333333334,167.88333333333333,0.0,-3.789561257387201e-15,0.0
1046062902039176146,60.0,15.0,103.0,0.0,0.0,0.0
1046144624268631443,60.0,24.0,168.0,0.0,0.0,0.0
1046625104556736637,60.0,12.0,58.527272727272724,0.0,0.0,15.472727272727274
1046695203099528435,60.0,23.98333333333333,126.67560606060607,0.0,0.0,41.20772727272726
1047536633268444497,0.0,0.0,0.0,60.0,24.0,168.0
